小区名称,均价,在售套数,所在区,所在街道,经度,纬度
"
中海钱江湾
",102879,14,上城,钱江新城,120.2398659440638,30.27628782339343
"
德信大家运河云庄南区
",102650,4,余杭,万达广场,120.13792012631403,30.354984188432947
"
西湖花苑
",102563,2,拱墅,武林,120.16486920178282,30.26701171370481
"
小河直街15号
",102372,1,拱墅,和睦,120.14201280621751,30.313146226030277
"
郡西别墅
",102012,5,余杭,良渚,120.02843896262438,30.366269989583063
"
中海黄龙云起
",101934,9,西湖,翠苑,120.13183204038127,30.286481001862324
"
滨江金茂府
",101717,66,滨江,滨江区政府,120.22521952187637,30.22266144337834
"
银杏汇
",101551,26,滨江,彩虹城,120.15502997170148,30.195709189470033
"
长生路48号
",100592,2,上城,湖滨,120.16890304267538,30.262850077798323
"
滨江金地御品
",99708,21,上城,望江,120.18925666925936,30.244202916667707
"
曙光路101号
",99436,0,西湖,黄龙,120.13808020435592,30.263446880758657
"
世纪西溪
",97935,0,西湖,文三西路,120.09976603706653,30.28315904838262
"
江明月朗园
",97584,192,上城,四季青,120.19729695272642,30.24612094832065
"
林语别墅
",97475,4,西湖,文一西路,120.09635615918121,30.28991557396836
"
晓风印月公寓
",97016,44,滨江,滨江区政府,120.22585004251381,30.207123137716746
"
柳浪东苑
",96782,10,上城,清波,120.16707283502936,30.246125394122945
"
金隅学府
",96080,30,上城,南星,120.18770897869622,30.22966704650321
"
新绿园
",95586,36,上城,南星,120.19859347706897,30.22941671298271
"
蕲王路11号
",94136,1,上城,湖滨,120.16843403736861,30.26150103850217
"
武林外滩
",93346,11,拱墅,朝晖,120.16813337451444,30.28792917522505
"
钱江御府
",93018,30,上城,南星,120.18912722343536,30.231643636776592
"
索菲特世外桃源
",92971,2,萧山,闻堰,120.19242535211525,30.1288171270228
"
望江府
",92751,35,上城,南星,120.19572581638947,30.23476211815786
"
滨江西溪明珠
",92715,11,西湖,西溪,120.15605664506884,30.28108347148038
"
钱江水晶澜轩
",92211,18,滨江,彩虹城,120.17398475694533,30.198524642911675
"
元华公寓
",92105,1,上城,湖滨,120.1692109818042,30.25492908796033
"
时代滨江丹枫四季
",92059,10,滨江,滨江区政府,120.22373875507373,30.21930641407866
"
融信远洋厘望轩
",91807,13,拱墅,信义坊,120.14328399834467,30.303923057059983
"
滨江华家池
",91590,36,上城,华家池,120.19880583649152,30.27989748559433
"
西湖定安名都
",91470,10,上城,清波,120.17570582047189,30.251062839112915
"
如意里
",90748,1,拱墅,桥西,120.14502832798395,30.32495952166837
"
万象城悦府
",90659,44,上城,钱江新城,120.22317938023266,30.259210537616312
"
水岸枫庭
",90483,18,上城,南星,120.19660849138357,30.22772357089324
"
滨江锦绣之城
",90430,38,拱墅,和睦,120.13430300934755,30.30959501184817
"
澄之华庭南区
",90255,38,萧山,钱江世纪城,120.2573087913038,30.238538609879484
"
首开杭州金茂府
",90125,52,拱墅,和睦,120.12944946467715,30.304561232831404
"
绿城留香园
",89888,73,上城,钱江新城,120.23665962220703,30.27835874654444
"
滨江城市之星
",88078,41,上城,钱江新城,120.21008954183291,30.246325143029953
"
高士坊巷
",87617,0,上城,鼓楼,120.17592347989697,30.234833961324668
"
清波苑
",87395,2,上城,清波,120.1702867026524,30.250384535362084
"
绿城桃源小镇观翠苑
",87046,10,余杭,小和山,119.97042585380669,30.22965659319987
"
观翠揽月轩
",87044,54,上城,七堡,120.23946583878966,30.28883338579019
"
平海路小区
",86539,1,上城,湖滨,120.17599687145713,30.260470939762257
"
溪上玫瑰园
",86387,16,余杭,翡翠城,120.02797489799792,30.257043827433787
"
洽丰里
",85600,1,上城,湖滨,120.16831626951627,30.253963651519044
"
敬胜里
",85437,3,拱墅,桥西,120.14395602069668,30.32434197664292
"
雅戈尔御西湖
",85220,38,西湖,文教,120.13707068862381,30.291692219986416
"
文二路37号
",84716,1,西湖,学军,120.15055955433108,30.289469555793282
"
德信九溪云庄
",84628,19,西湖,之江,120.09791804297141,30.163411226788536
"
西溪诚园明礼苑
",83993,8,西湖,西溪,120.09961368445205,30.281331410950713
"
融创宜和园
",83911,14,拱墅,申花,120.12832002515945,30.311989003262823
"
湖印宸山庄
",83566,17,临平,星桥,120.24709613562196,30.398352316090147
"
融信公馆arc
",83560,16,拱墅,和睦,120.13471667903491,30.30486242975911
"
同和里
",83236,2,拱墅,桥西,120.14403821565084,30.322844078504893
"
九龙仓君玺
",83228,20,拱墅,和平,120.18120884002602,30.28994059957349
"
金地自在城十方别墅
",83203,6,西湖,三墩,120.0809909129247,30.340768784542355
"
融创涌清府
",82569,17,上城,景芳,120.22482498609638,30.282294158592727
"
富越香墅
",82423,8,西湖,文一西路,120.09600123867422,30.297747961636567
"
绿城建发沁园
",82402,38,西湖,申花,120.08061721783254,30.17530945278399
"
阳明谷
",82336,7,西湖,之江,120.0921495741391,30.175457988002805
"
通惠花园
",82280,3,萧山,萧山新城区,120.29018138313593,30.19837785959106
"
滨江凯旋门
",82102,37,上城,采荷,120.19807560394247,30.26169623275597
"
赞成林风和风苑
",81983,18,上城,南星,120.1952472890443,30.23210310362593
"
杭房建发养云静舍
",81760,13,拱墅,申花,120.12072808597242,30.307340409374223
"
三衙前
",81549,4,上城,清波,120.16641895844863,30.246633072208812
"
宝石二路6号
",81179,1,西湖,黄龙,120.19795352422366,30.390560532509753
"
绿城兰园
",81069,50,拱墅,建国北路,120.19140299061435,30.27992789367049
"
远洋公馆绿园
",80761,21,拱墅,拱宸桥,120.15075807984879,30.314349108885185
"
马塍路15号
",80760,2,西湖,文三,120.15381384570208,30.282956568338825
"
小河直街
",80699,1,拱墅,和睦,120.1377502567421,30.31145898485902
"
遂安路
",80436,2,拱墅,武林,120.16763804885623,30.27415252753294
"
绿园
",80431,9,西湖,黄龙,120.13561094217009,30.271835189149837
"
万科古翠隐秀
",80355,35,拱墅,和睦,120.13501356900596,30.282605326445402
"
书香印翠
",80141,16,西湖,文教,120.15176759558089,30.2958443571902
"
文三路54号
",80052,0,西湖,学军,120.15445137312251,30.284010130466356
"
滨江观品
",79846,28,萧山,奥体,120.24828441415056,30.24408545150207
"
栖江揽月轩
",79812,61,上城,七堡,120.24101990732193,30.28982880289501
"
西溪诚园正信苑
",79710,16,西湖,西溪,120.09961368445205,30.281331410950713
"
五柳巷
",79546,0,上城,城站,120.1879333754126,30.249451343271403
"
西溪玫瑰
",79485,29,余杭,西溪,120.04806630920353,30.256060786574146
"
创世邸
",79241,115,萧山,钱江世纪城,120.25500185292363,30.241509294000327
"
长生路30号
",79190,2,上城,湖滨,120.17008952459297,30.26272140557058
"
德信臻园
",78698,18,拱墅,桥西,120.14277519810382,30.331374696515354
"
华润亚奥城南区
",78618,38,萧山,钱江世纪城,120.25610613988704,30.26122318040457
"
仁寿山
",78594,4,西湖,黄龙,120.13922617269499,30.275740767949983
"
滨江嘉品
",78490,48,萧山,钱江世纪城,120.26058248607382,30.237506005826564
"
东方苑
",78466,3,西湖,之江,120.11785377783215,30.251886125202528
"
南山路小区
",78271,3,上城,清波,120.16527748163712,30.247263200841328
"
珹上润府
",78205,21,拱墅,和睦,120.13315659185572,30.31919205600638
"
江晖府
",78025,38,滨江,长河,120.21852588819931,30.19486568473206
"
新华园
",77977,24,拱墅,湖墅,120.16364148764234,30.28763416281742
"
绿地华家池印
",77935,61,上城,华家池,120.20423348821336,30.279762052585667
"
新湖武林国际公寓
",77899,14,拱墅,体育场路,120.17761570781667,30.27541359363879
"
赞成林风映水苑
",77878,13,上城,南星,120.19659438798706,30.233167123791933
"
求智巷
",77842,20,西湖,学军,120.15079706630792,30.287481666623233
"
吴山人家
",77799,6,上城,清波,120.16749063692204,30.247287067497272
"
盛景琥林名邸
",77769,22,拱墅,申花,120.12678410239849,30.313416531077284
"
文二路57号
",77508,0,西湖,学军,120.14919736385575,30.288811244504256
"
华元和庄
",77493,3,西湖,西溪,120.15605664506884,30.28108347148038
"
紫荆欣苑
",77452,3,西湖,文一西路,120.10182558210926,30.29874297553635
"
世茂之西湖
",77447,46,滨江,彩虹城,120.15379632874465,30.194736532423224
"
春江名苑
",77283,11,上城,南星,120.19875660934959,30.23297132623291
"
三元坊巷
",77199,1,上城,湖滨,120.17296293442773,30.25833241088437
"
世贸丽晶城
",77163,52,西湖,九莲,120.14478848041277,30.280007968225533
"
东方御府
",77013,36,上城,景芳,120.2348410027021,30.279643772710926
"
融创金成杭源里
",76992,26,拱墅,大关,120.15705295570996,30.30685004101561
"
涌金花园
",76932,2,上城,清波,120.16850527299556,30.25091972264076
"
天珏华庭
",76926,21,拱墅,申花,120.12203179675906,30.308420442596244
"
澄之华庭北区
",76809,60,萧山,钱江世纪城,120.25852267153944,30.23963953251374
"
四条巷
",76770,8,上城,清波,120.20428990179938,30.232618187567876
"
融创华奥时代奥城
",76712,91,萧山,钱江世纪城,120.25331528432865,30.236927842615785
"
玉润钱潮府
",76683,81,上城,景芳,120.21864239842397,30.283353653371588
"
西溪诚园知敬苑
",76665,20,西湖,西溪,120.09961368445205,30.281331410950713
"
远洋大河宸章
",76504,34,拱墅,桥西,120.14196492653382,30.326566024340586
"
西子铭苑
",76453,24,拱墅,武林,120.16489237806498,30.274985286804185
"
湖滨阁
",76404,3,拱墅,武林,120.1645962965689,30.271109464663112
"
景瑞瑞名邸
",76395,36,萧山,钱江世纪城,120.25176435986566,30.225991471042544
"
晓月澄庐
",76223,15,余杭,未来科技城,120.03695750394495,30.27518068789901
"
北山街99号
",76171,1,西湖,黄龙,120.13766779229628,30.259310437677247
"
天璞御园
",76044,62,萧山,钱江世纪城,120.25395802192102,30.23932705708472
"
绿城运河宸园
",75965,25,拱墅,桥西,120.30343641991897,30.481452873988296
"
赛丽绿城丽园
",75916,9,上城,鼓楼,120.17849443026651,30.234326143666134
"
古翠蓝庭
",75589,15,西湖,翠苑,120.12631922929708,30.29842835143526
"
杭州公馆
",75335,38,西湖,文教,120.13744105998556,30.297528751625254
"
滨江天澜美境
",75307,12,上城,七堡,120.27387435338277,30.299201111929463
"
金帝花园
",75286,2,西湖,三墩,120.09432176669277,30.330936817576408
"
天目山路95号
",75275,1,西湖,黄龙,120.15332714377678,30.277697007187427
"
九龙仓碧玺
",75231,78,拱墅,桥西,120.13943574737047,30.324239883383832
"
九龙仓华发荟品天语城
",75210,30,拱墅,申花,120.12427836900896,30.30949243539337
"
天尔名庭
",75208,12,拱墅,申花,120.14803289042315,30.325204543491335
"
彩虹豪庭
",75143,28,滨江,彩虹城,120.16360016558887,30.197331485538243
"
南山路154-166号
",74917,0,上城,清波,120.16614515492921,30.243047290386286
"
大华西溪风情
",74738,107,余杭,西溪,120.1311463637855,30.288603474796965
"
文二新村
",74625,39,西湖,学军,120.11785377783215,30.251886125202528
"
星洲花园白沙拂庭
",74558,5,西湖,文一西路,120.10241181628508,30.295649309489495
"
吉祥寺弄
",74445,7,拱墅,桥西,120.14424994625955,30.324156494153534
"
荷花池头
",74352,2,上城,清波,120.16742721655304,30.24422218218931
"
大家武林府
",74346,15,拱墅,朝晖,120.17483446412722,30.284733029801654
"
十里风荷
",74281,36,余杭,中泰,119.9563415912074,30.244315155826946
"
崇文公寓
",74038,33,西湖,学军,120.15224360767063,30.28706440587411
"
中海御道
",73953,87,上城,钱江新城,120.2392349742736,30.275628798981774
"
首开天青里
",73602,11,拱墅,半山,120.20968844842271,30.35933500276477
"
思鑫坊
",73586,0,上城,湖滨,120.17238810873188,30.261627684758636
"
文三路232号
",73577,2,西湖,文教,120.14261008955107,30.28552866505285
"
下宁巷
",73576,33,西湖,学军,120.15079706630792,30.287481666623233
"
里仁坊巷
",73478,1,上城,湖滨,120.17706369908078,30.261247043634683
"
康都紫轩
",73397,24,上城,南星,120.19021201716922,30.233682436122553
"
蓝爵白马尊邸
",73343,2,西湖,三墩,120.08693194624549,30.340170820472412
"
华门清水湾
",73235,5,余杭,中泰,119.92250826163234,30.24097912499026
"
万丽璞丽
",73115,3,临平,临平新城,120.31692789071224,30.42101089725133
"
五福里
",72953,1,上城,湖滨,120.17218437304223,30.25871423321584
"
泰禾杭州院子
",72926,65,余杭,西溪,120.04073002776464,30.278310950510015
"
银马公寓
",72907,16,西湖,文教,120.14312275250562,30.292992973380034
"
葛洲坝龙湖中杭府
",72795,35,西湖,西溪,120.15605664506884,30.28108347148038
"
耀江广厦
",72550,4,上城,清波,120.17147740660587,30.25116087572461
"
滨江金色家园
",72520,41,上城,南星,120.19137631094071,30.22738671760492
"
曙光公寓
",72347,15,西湖,黄龙,120.13683173935814,30.26245587234407
"
玉皇山庄
",72309,1,西湖,西湖景区,120.12792000971587,30.228932114135855
"
闻潮尚庭
",72309,36,上城,南星,120.19438689202684,30.235614872065188
"
中海望庐云起武林
",72089,17,拱墅,德胜东,120.1845738924664,30.30116560932135
"
滨融府
",72053,15,拱墅,和睦,120.1311593892154,30.31109443963813
"
湖境云庐
",72001,46,余杭,未来科技城,119.99570003865213,30.271216058467076
"
文三路105号
",71841,3,西湖,文三,120.15255738578526,30.283344297371425
"
龙湖春江郦城
",71760,49,滨江,滨江区政府,120.21132309495923,30.204738345413883
"
熙晖府
",71703,29,拱墅,德胜东,120.17934934762036,30.30664854574846
"
中大文锦苑
",71671,43,西湖,学军,120.15069789337961,30.28563594472134
"
金地大运宸府
",71632,29,拱墅,桥西,120.13952620673533,30.335414794270026
"
柳营新村
",71564,0,上城,湖滨,120.1683829237851,30.25463569113162
"
西溪诚园守纯苑
",71498,25,西湖,西溪,120.09961368445205,30.281331410950713
"
文二路25号
",71461,8,西湖,学军,120.15134512249955,30.288976992177137
"
文二路48号
",71406,2,西湖,文教,120.15012261853103,30.29055306221716
"
富力西溪悦墅
",71286,28,余杭,未来科技城,120.03626625785502,30.277986825721417
"
首开东城金茂府
",71201,28,上城,城东新城,120.2127258888436,30.30682548745612
"
茂宸金座
",71198,107,上城,华家池,120.20132998514401,30.27994949119573
"
莫干山路361号
",71038,1,西湖,文教,120.15460085115937,30.289284474410962
"
白马公寓
",70989,3,拱墅,湖墅,120.16620102953192,30.2822600088153
"
文一路82号
",70965,1,西湖,文教,120.1467657406708,30.29542292269805
"
湖畔花园龙珠苑
",70935,4,西湖,文一西路,120.10862602431146,30.295866029132757
"
龙湖唐宁ONE
",70895,10,西湖,嘉绿,120.1244526402779,30.292289781320793
"
花园西村
",70697,10,西湖,文教,120.13370581584454,30.289203393997564
"
锦绣文苑
",70669,6,西湖,文三,120.15811439350055,30.279732736031587
"
镜栖绿汀里
",70588,22,余杭,未来科技城,119.99883808929013,30.270726911248094
"
寰宇天下E区
",70547,34,滨江,滨江区政府,120.22295210893863,30.224367623824257
"
清波街
",70421,5,上城,清波,120.16742721655304,30.24422218218931
"
赞成林风沁林苑
",70415,37,上城,南星,120.19779901567594,30.232204045627885
"
新城国际和园
",70380,16,上城,钱江新城,120.22289156314726,30.262108377545847
"
麒麟山庄D区
",70376,2,临安,临安,119.68525724254482,30.203950632485746
"
阳光城滨奥悦府
",70349,33,萧山,钱江世纪城,120.2540597999353,30.226006527486234
"
皓玉府
",70344,23,上城,城东新城,120.2127258888436,30.30682548745612
"
九龙仓臻玺
",70285,8,拱墅,申花,120.1234132109723,30.315479180084242
"
华润亚奥城北区
",70198,76,萧山,钱江世纪城,120.25610613988704,30.26122318040457
"
景云村小区
",70195,6,上城,清波,120.16744320639113,30.247725947737685
"
宝石二路8号
",69862,3,西湖,黄龙,120.19795352422366,30.390560532509753
"
马塍路37号
",69827,2,西湖,学军,120.15283999269872,30.288760491044556
"
马塍路28号
",69782,4,西湖,学军,120.15338939634862,30.28528978024905
"
天阳凤起
",69743,15,上城,景芳,120.22257500028554,30.273518050627615
"
万安景月湾
",69700,11,西湖,之江,120.08825748585602,30.17626677117963
"
栖霞岭
",69657,5,西湖,黄龙,120.13922617269499,30.275740767949983
"
文三路55号
",69597,2,西湖,文三,120.15521196839781,30.28321604211167
"
世茂国贸天誉湾
",69399,88,上城,火车东站,120.21685297384809,30.309122036836243
"
松木场河西
",69275,26,西湖,黄龙,120.15420622554883,30.27410527524797
"
锦尚和品府
",69239,125,拱墅,德胜东,120.1795329612666,30.302025030324454
"
龙游路
",69062,1,拱墅,武林,120.16763804885623,30.27415252753294
"
融创河滨之城水澜轩
",69004,64,西湖,西溪,120.1311925366887,30.283080067961382
"
钱塘府
",68793,61,上城,景芳,120.22405828234362,30.27687643476856
"
宝石新村
",68780,1,西湖,黄龙,120.15392218134659,30.270038919529565
"
黄龙雅苑
",68663,43,西湖,黄龙,120.14460657354701,30.275445640551588
"
马塍路30号
",68623,2,西湖,学军,120.153872684713,30.28535784376638
"
学院路312号
",68607,4,西湖,文教,120.13555345061745,30.29908082892377
"
广宇西城美墅
",68561,47,西湖,申花,120.10727479316334,30.318337463355885
"
海潮雅园一园
",68550,14,上城,望江,120.1905873292113,30.240292092792295
"
启真名苑
",68510,10,西湖,九莲,120.14995185065358,30.27925127274079
"
星洲花园圣陶沙韵
",68476,12,西湖,文一西路,120.10258096721262,30.296358012109966
"
文二路43号
",68373,2,西湖,学军,120.15041178307469,30.289426131086135
"
合景天銮
",68364,28,拱墅,申花,120.1241061638427,30.316567851992716
"
金基晓庐
",68322,81,上城,钱江新城,120.22602548157992,30.264153868783666
"
新城国际彩园
",68310,12,上城,钱江新城,120.22523299645901,30.261828259649917
"
盛世钱塘
",68300,75,上城,钱江新城,120.22814260800584,30.265584283384552
"
马塍路24号
",68140,2,西湖,学军,120.15379857450841,30.2847293654204
"
西溪诚园致诚苑
",67995,45,西湖,西溪,120.09961368445205,30.281331410950713
"
大家绿城金麟府
",67961,31,拱墅,拱宸桥,120.15459141895153,30.329082570444516
"
曙光路125号
",67959,2,西湖,黄龙,120.13789991444006,30.26149098
"
宝石一路2号
",67893,2,西湖,黄龙,120.19714909163947,30.390030632293552
"
春江花月
",67794,110,上城,南星,120.18809003989355,30.22258974725832
"
中粮大悦城
",67782,45,拱墅,和睦,120.13649900699725,30.307823993864805
"
马塍路34号
",67637,3,西湖,学军,120.15337160989951,30.286762997797776
"
南兴加儿巷
",67629,2,上城,雄镇楼,120.17960437655465,30.23353945009541
"
金祝新村
",67572,38,西湖,黄龙,120.15747731523287,30.27604922775492
"
运新花苑五区
",67397,2,上城,景芳,120.22992053427119,30.276084549303068
"
君品名邸
",67335,51,萧山,钱江世纪城,120.25667746219139,30.23565036431338
"
远洋公馆
",67325,101,拱墅,拱宸桥,120.15075807984879,30.314349108885185
"
滨江御滨府
",67323,56,滨江,滨江区政府,120.23218237771475,30.199667922123698
"
文二路27号
",67286,1,西湖,学军,120.1152063816637,30.288373095483635
"
朗诗乐府
",67246,20,拱墅,德胜东,120.19008670355058,30.301622019336723
"
文二路70号
",67218,3,西湖,文教,120.14874937889793,30.29055851947896
"
美岸栖庭
",67160,28,拱墅,三塘,120.1770919058738,30.330288294894984
"
仁和路
",67054,3,上城,湖滨,120.17296293442773,30.25833241088437
"
瑞丰格林苑
",67047,2,上城,潮鸣,120.19095132260394,30.25957208020751
"
建德路
",67009,5,拱墅,武林,120.16763804885623,30.27415252753294
"
柳浪新苑
",66998,16,上城,清波,120.16668692298227,30.244783220584242
"
庆春御府
",66955,8,上城,采荷,120.1989923247154,30.26288743170405
"
松木场社区
",66841,33,西湖,黄龙,120.15420622554883,30.27410527524797
"
文二路33号
",66683,2,西湖,学军,120.15075466628784,30.289446946881746
"
马塍路32号
",66658,19,西湖,学军,120.15345218790377,30.286324527679305
"
求智弄
",66577,22,西湖,学军,120.11785377783215,30.251886125202528
"
顺发美哉美城
",66569,126,萧山,钱江世纪城,120.26299425670699,30.230389569868976
"
寰宇天下D区
",66516,25,滨江,滨江区政府,120.2220936881933,30.2233734087302
"
岳王路19号
",66346,0,上城,湖滨,120.17552786615038,30.26049979421728
"
求是村
",66311,92,西湖,黄龙,120.13567202694476,30.269171105733687
"
昆仑公馆
",66191,17,拱墅,朝晖,120.16337666717799,30.2978001915449
"
文二路51号
",66137,3,西湖,学军,120.15018442195012,30.28944156751926
"
金瑞城市风景
",66062,16,拱墅,桥西,120.14013058668243,30.326970100696514
"
水岸帝景
",66058,15,上城,钱江新城,120.23114770942836,30.26191645944196
"
省级机关宿舍
",66017,1,西湖,黄龙,120.15652295545907,30.269984023460083
"
金祝花园
",66000,8,西湖,黄龙,120.15852446996585,30.275917999904
"
日晖新村
",65935,16,西湖,文教,120.15337592176597,30.289314099929737
"
学院路304号
",65918,3,西湖,文教,120.1355933353821,30.299302452000035
"
国樾湾
",65883,21,拱墅,拱宸桥,120.16941902936031,30.331885046247944
"
钱江水晶城
",65870,42,滨江,彩虹城,120.17301036495866,30.197629737233243
"
滨江龙湖东潮府
",65845,19,上城,城东新城,120.23565630478295,30.309127181270338
"
府尚别墅
",65723,8,萧山,闻堰,120.16039797593746,30.147933197675428
"
湖畔花园太子苑
",65717,4,西湖,文一西路,120.10739372881287,30.29556768869269
"
长生路31号
",65685,1,上城,湖滨,120.1700439805036,30.262930166426198
"
马塍路29号
",65658,2,西湖,学军,120.15363023205585,30.285879272658146
"
郡西云台
",65545,14,余杭,良渚,120.02526354247715,30.365128747434674
"
花园南村
",65358,11,西湖,文教,120.13959501693739,30.288670522480917
"
阳光城檀映里
",65223,18,拱墅,三塘,120.18097042974367,30.319250743214436
"
文三路59号
",65206,2,西湖,文三,120.15435363748303,30.283705360357374
"
四宜路10号
",65118,0,上城,清波,120.1689440952372,30.240995193123936
"
星翠澜庭
",65090,28,萧山,钱江世纪城,120.25684472667736,30.250886965707434
"
旭辉和昌都会山
",65081,100,萧山,钱江世纪城,120.25149603600984,30.237550077759884
"
文二路19号
",65056,1,西湖,学军,120.15253690441965,30.289518983533252
"
金成花园别墅
",64919,2,西湖,文一西路,120.1458212622576,30.275050550501664
"
万科新都会1958
",64604,19,拱墅,德胜东,120.19016961714915,30.30733238079125
"
华清山庄
",64582,4,临平,临平新城,120.2874008580909,30.414304931808196
"
绿城明月江南
",64581,90,滨江,滨江区政府,120.23357439193302,30.213437175351743
"
马塍路33号
",64549,8,西湖,学军,120.15363337612513,30.287548013412003
"
铁路新村
",64539,8,西湖,黄龙,120.15237799417493,30.273731076885984
"
旭江华庭
",64350,179,滨江,奥体,120.23452991950398,30.23030625606839
"
南山路260号
",64335,1,上城,湖滨,120.1678470845484,30.254539061838763
"
日耀之城
",64316,105,萧山,钱江世纪城,120.26209720882474,30.25555580932163
"
兰庭国际
",64277,18,西湖,文教,120.14545933496764,30.290029475502223
"
传宸府
",64228,24,拱墅,拱宸桥,120.15807208331103,30.323903988009548
"
水色宜居
",64199,26,拱墅,申花,120.11321438919532,30.3141438100353
"
平海公寓
",64180,19,上城,湖滨,120.1760898460774,30.260675104343697
"
龙湖春江彼岸
",64157,132,滨江,奥体,120.23637360173267,30.22700508435632
"
保利中盛府
",64115,66,上城,景芳,120.21316282464365,30.281856058139862
"
宝石二路7号
",64058,0,西湖,黄龙,120.19795352422366,30.390560532509753
"
将军路
",64042,2,上城,湖滨,120.17296293442773,30.25833241088437
"
西溪河东
",64021,18,西湖,学军,120.14758140207384,30.285437212160492
"
中大广场
",63856,4,拱墅,天水,120.17573483573986,30.272036912614798
"
金都城市芯宇
",63840,82,西湖,文教,120.14296860328011,30.297230182428144
"
万和玺园
",63778,25,拱墅,三塘,120.17730642122956,30.31736042052734
"
耀江文鼎苑
",63723,160,西湖,申花,120.10151791247209,30.30403413595869
"
上宁新村
",63690,17,西湖,文三,120.15046226784436,30.282122707876656
"
青枫墅园二期-鹭语阁排屋
",63671,26,余杭,未来科技城,120.02428798269331,30.286655719374178
"
桃花弄
",63620,7,西湖,黄龙,120.15607829423163,30.275246185384766
"
坤和西溪里
",63566,64,西湖,西溪,120.15605664506884,30.28108347148038
"
皇朝城市花园
",63499,9,西湖,文三西路,120.10247658411235,30.279878616988448
"
融创河滨之城雨澜轩
",63449,90,西湖,西溪,120.1311925366887,30.283080067961382
"
邮电路16-38号
",63384,16,上城,湖滨,120.17614895457996,30.257736980298013
"
名城公馆
",63357,32,拱墅,桥西,120.13633776115822,30.32233874698375
"
王家弄
",63307,10,西湖,黄龙,120.13922617269499,30.275740767949983
"
友谊新村
",63298,28,西湖,黄龙,120.15086686464605,30.273731544732303
"
杭大新村
",63290,9,西湖,黄龙,120.14983803534547,30.27602505626866
"
滨江望品
",63265,16,拱墅,大关,120.16368101308478,30.307054887612683
"
绿城伍重院
",63259,5,临平,东湖,120.2720374084454,30.43032287605006
"
体育场路472号
",63075,0,西湖,黄龙,120.163534319795,30.2763013905788
"
环城西路83号
",63039,2,西湖,黄龙,120.16112389662007,30.27738527781268
"
花园北村1212宿舍
",63025,1,西湖,文教,120.13858334527205,30.289941535110014
"
新民村2号
",63011,2,上城,清波,120.16671791452237,30.24732637727077
"
罗马公寓
",63008,6,西湖,黄龙,120.16083374394034,30.277287111701952
"
体育场路466号
",63005,1,西湖,黄龙,120.16057036076484,30.276851405797387
"
嘉南公寓吟泉居
",62989,1,西湖,文一西路,120.10038946109046,30.293031095287386
